"Tabela 3261 - Domicílios particulares permanentes, por classes de rendimento nominal mensal domiciliar per capita"
"Variável - Domicílios particulares permanentes (Unidades)"
"Bairro e Município";"Ano x Classes de rendimento nominal mensal domiciliar per capita"
"Presidente Sarney (MA)";"4009"
"Presidente Vargas (MA)";"2511"
"Primeira Cruz (MA)";"2981"
"Raposa (MA)";"6552"
"Riachão (MA)";"5277"
"Ribamar Fiquene (MA)";"1896"
"Rosário (MA)";"9456"
"Sambaíba (MA)";"1369"
"Santa Filomena do Maranhão (MA)";"1752"
"Santa Helena (MA)";"8812"
"Santa Inês (MA)";"20262"
"Santa Luzia (MA)";"17454"
"Santa Luzia do Paruá (MA)";"5370"
"Santa Quitéria do Maranhão (MA)";"6356"
"Santa Rita (MA)";"7919"
"Santana do Maranhão (MA)";"2490"
"Santo Amaro do Maranhão (MA)";"2597"
"Santo Antônio dos Lopes (MA)";"3712"
"São Benedito do Rio Preto (MA)";"3919"
"São Bento (MA)";"9664"
"São Bernardo (MA)";"6270"
"São Domingos do Azeitão (MA)";"1679"
"São Domingos do Maranhão (MA)";"8864"
"São Félix de Balsas (MA)";"1212"
"São Francisco do Brejão (MA)";"2677"
"São Francisco do Maranhão (MA)";"3287"
"São João Batista (MA)";"5063"
"São João do Carú (MA)";"2609"
"São João do Paraíso (MA)";"2874"
"São João do Soter (MA)";"4260"
"São João dos Patos (MA)";"7013"
"São José de Ribamar (MA)";"42562"
"São José dos Basílios (MA)";"1868"
"São Luís (MA)";"276812"
"São Luís Gonzaga do Maranhão (MA)";"5228"
"São Mateus do Maranhão (MA)";"9814"
"São Pedro da Água Branca (MA)";"3012"
"São Pedro dos Crentes (MA)";"1105"
"São Raimundo das Mangabeiras (MA)";"4438"
"São Raimundo do Doca Bezerra (MA)";"1396"
"São Roberto (MA)";"1316"
"São Vicente Ferrer (MA)";"5143"
"Satubinha (MA)";"2497"
"Senador Alexandre Costa (MA)";"2581"
"Senador La Rocque (MA)";"4526"
"Serrano do Maranhão (MA)";"2736"
"Sítio Novo (MA)";"4099"
"Sucupira do Norte (MA)";"2700"
"Sucupira do Riachão (MA)";"1212"
"Tasso Fragoso (MA)";"1936"
"Timbiras (MA)";"6541"
"Timon (MA)";"40487"
"Trizidela do Vale (MA)";"5102"
"Tufilândia (MA)";"1373"
"Tuntum (MA)";"10433"
"Turiaçu (MA)";"7778"
"Turilândia (MA)";"5205"
"Tutóia (MA)";"11335"
"Urbano Santos (MA)";"5237"
"Vargem Grande (MA)";"11096"
"Viana (MA)";"12313"
"Vila Nova dos Martírios (MA)";"2736"
"Vitória do Mearim (MA)";"7547"
"Vitorino Freire (MA)";"8232"
"Zé Doca (MA)";"11878"
"Acauã (PI)";"1877"
"Agricolândia (PI)";"1533"
"Água Branca (PI)";"4723"
"Alagoinha do Piauí (PI)";"2277"
"Alegrete do Piauí (PI)";"1488"
"Alto Longá (PI)";"3964"
"Altos (PI)";"10372"
"Alvorada do Gurguéia (PI)";"1293"
"Amarante (PI)";"4861"
"Angical do Piauí (PI)";"2076"
"Anísio de Abreu (PI)";"2563"
"Antônio Almeida (PI)";"867"
"Aroazes (PI)";"1610"
"Aroeiras do Itaim (PI)";"669"
"Arraial (PI)";"1250"
"Assunção do Piauí (PI)";"1888"
"Avelino Lopes (PI)";"3099"
"Baixa Grande do Ribeiro (PI)";"2520"
"Barra D'Alcântara (PI)";"1177"
"Barras (PI)";"11305"
"Barreiras do Piauí (PI)";"796"
"Barro Duro (PI)";"1841"
"Batalha (PI)";"6915"
"Bela Vista do Piauí (PI)";"936"
"Belém do Piauí (PI)";"933"
"Beneditinos (PI)";"2768"
"Bertolínia (PI)";"1458"
"Betânia do Piauí (PI)";"1579"
"Boa Hora (PI)";"1520"
"Bocaina (PI)";"1383"
"Bom Jesus (PI)";"5732"
"Bom Princípio do Piauí (PI)";"1342"
"Bonfim do Piauí (PI)";"1518"
"Boqueirão do Piauí (PI)";"1612"
"Brasileira (PI)";"2177"
"Brejo do Piauí (PI)";"1152"
"Buriti dos Lopes (PI)";"4855"
"Buriti dos Montes (PI)";"2056"
"Cabeceiras do Piauí (PI)";"2581"
"Cajazeiras do Piauí (PI)";"930"
"Cajueiro da Praia (PI)";"1819"
"Caldeirão Grande do Piauí (PI)";"1541"
"Campinas do Piauí (PI)";"1641"
"Campo Alegre do Fidalgo (PI)";"1258"
"Campo Grande do Piauí (PI)";"1608"
"Campo Largo do Piauí (PI)";"1684"
"Campo Maior (PI)";"12943"
"Canavieira (PI)";"1089"
"Canto do Buriti (PI)";"5837"
"Capitão de Campos (PI)";"2960"
"Capitão Gervásio Oliveira (PI)";"1144"
"Caracol (PI)";"2687"
"Caraúbas do Piauí (PI)";"1453"
"Caridade do Piauí (PI)";"1214"
"Castelo do Piauí (PI)";"5076"
"Caxingó (PI)";"1267"
"Cocal (PI)";"6717"
"Cocal de Telha (PI)";"1328"
"Cocal dos Alves (PI)";"1555"
"Coivaras (PI)";"1015"
"Colônia do Gurguéia (PI)";"1693"
"Colônia do Piauí (PI)";"2006"
"Conceição do Canindé (PI)";"1278"
"Coronel José Dias (PI)";"1324"
"Corrente (PI)";"6670"
"Cristalândia do Piauí (PI)";"2013"
"Cristino Castro (PI)";"2625"
"Curimatá (PI)";"2929"
"Currais (PI)";"1131"
"Curralinhos (PI)";"1102"
"Curral Novo do Piauí (PI)";"1177"
"Demerval Lobão (PI)";"3791"
"Dirceu Arcoverde (PI)";"1866"
"Dom Expedito Lopes (PI)";"1922"
